License_Number,Route_Name,Latitude,Longitude,Timespan
NA-0001,200-Gampaha-Colombo,80.442214,6.856585,2025-10-31 09:25:20
NA-0001,200-Gampaha-Colombo,80.443197,6.856346,2025-10-31 09:25:30
NA-0001,200-Gampaha-Colombo,80.442751,6.856567,2025-10-31 09:25:40
NA-0001,200-Gampaha-Colombo,80.442979,6.856722,2025-10-31 09:25:50
NA-0001,200-Gampaha-Colombo,80.442379,6.857365,2025-10-31 09:26:00
NA-0001,200-Gampaha-Colombo,80.442821,6.858257,2025-10-31 09:26:10
NA-0001,200-Gampaha-Colombo,80.441945,6.858004,2025-10-31 09:26:20
NA-0001,200-Gampaha-Colombo,80.441638,6.858488,2025-10-31 09:26:30
NA-0001,200-Gampaha-Colombo,80.442259,6.85825,2025-10-31 09:26:40
NA-0001,200-Gampaha-Colombo,80.442318,6.858271,2025-10-31 09:26:50
NA-0001,200-Gampaha-Colombo,80.441483,6.85869,2025-10-31 09:27:00
NA-0001,200-Gampaha-Colombo,80.440891,6.85902,2025-10-31 09:27:10
NA-0001,200-Gampaha-Colombo,80.441767,6.85969,2025-10-31 09:27:20
NA-0001,200-Gampaha-Colombo,80.442077,6.860123,2025-10-31 09:27:30
NA-0001,200-Gampaha-Colombo,80.441655,6.860105,2025-10-31 09:27:40
NA-0001,200-Gampaha-Colombo,80.440937,6.861105,2025-10-31 09:27:50
NA-0001,200-Gampaha-Colombo,80.440624,6.861423,2025-10-31 09:28:00
NA-0001,200-Gampaha-Colombo,80.440147,6.860858,2025-10-31 09:28:10
NA-0001,200-Gampaha-Colombo,80.440689,6.86154,2025-10-31 09:28:20
NA-0001,200-Gampaha-Colombo,80.439901,6.861363,2025-10-31 09:28:30
NA-0001,200-Gampaha-Colombo,80.439647,6.86198,2025-10-31 09:28:40
NA-0001,200-Gampaha-Colombo,80.440025,6.862913,2025-10-31 09:28:50
NA-0001,200-Gampaha-Colombo,80.440183,6.863119,2025-10-31 09:29:00
NA-0001,200-Gampaha-Colombo,80.44053,6.863765,2025-10-31 09:29:10
NA-0001,200-Gampaha-Colombo,80.44148,6.863245,2025-10-31 09:29:20
NA-0001,200-Gampaha-Colombo,80.440871,6.864206,2025-10-31 09:29:30
NA-0001,200-Gampaha-Colombo,80.440097,6.864737,2025-10-31 09:29:40
NA-0001,200-Gampaha-Colombo,80.439575,6.864769,2025-10-31 09:29:50
NA-0001,200-Gampaha-Colombo,80.439561,6.864356,2025-10-31 09:30:00
NA-0001,200-Gampaha-Colombo,80.440447,6.863389,2025-10-31 09:30:10
NA-0001,200-Gampaha-Colombo,80.439793,6.863559,2025-10-31 09:30:20
NA-0001,200-Gampaha-Colombo,80.439896,6.862752,2025-10-31 09:30:30
NA-0001,200-Gampaha-Colombo,80.440331,6.862327,2025-10-31 09:30:40
NA-0001,200-Gampaha-Colombo,80.440286,6.861377,2025-10-31 09:30:50
NA-0001,200-Gampaha-Colombo,80.439996,6.860805,2025-10-31 09:31:00
NA-0001,200-Gampaha-Colombo,80.440489,6.860119,2025-10-31 09:31:10
NA-0001,200-Gampaha-Colombo,80.439879,6.85993,2025-10-31 09:31:20
NA-0001,200-Gampaha-Colombo,80.440181,6.860923,2025-10-31 09:31:30
NA-0001,200-Gampaha-Colombo,80.440024,6.8602,2025-10-31 09:31:40
NA-0001,200-Gampaha-Colombo,80.439493,6.859327,2025-10-31 09:31:50
NA-0001,200-Gampaha-Colombo,80.439481,6.859469,2025-10-31 09:32:00
NA-0001,200-Gampaha-Colombo,80.439924,6.859157,2025-10-31 09:32:10
NA-0001,200-Gampaha-Colombo,80.438934,6.859778,2025-10-31 09:32:20
NA-0001,200-Gampaha-Colombo,80.438175,6.859493,2025-10-31 09:32:30
NA-0001,200-Gampaha-Colombo,80.438753,6.858581,2025-10-31 09:32:40
NA-0001,200-Gampaha-Colombo,80.439383,6.858679,2025-10-31 09:32:50
NA-0001,200-Gampaha-Colombo,80.440366,6.859343,2025-10-31 09:33:00
NA-0001,200-Gampaha-Colombo,80.440199,6.859151,2025-10-31 09:33:10
NA-0001,200-Gampaha-Colombo,80.439387,6.859762,2025-10-31 09:33:20
NA-0001,200-Gampaha-Colombo,80.439092,6.860608,2025-10-31 09:33:30
NA-0001,200-Gampaha-Colombo,80.438829,6.859992,2025-10-31 09:33:40
NA-0001,200-Gampaha-Colombo,80.439742,6.860943,2025-10-31 09:33:50
NA-0001,200-Gampaha-Colombo,80.439813,6.861515,2025-10-31 09:34:00
NA-0001,200-Gampaha-Colombo,80.439659,6.861541,2025-10-31 09:34:10
NA-0001,200-Gampaha-Colombo,80.438895,6.862401,2025-10-31 09:34:20
NA-0001,200-Gampaha-Colombo,80.43963,6.862796,2025-10-31 09:34:30
NA-0001,200-Gampaha-Colombo,80.440326,6.861958,2025-10-31 09:34:40
NA-0001,200-Gampaha-Colombo,80.440476,6.861052,2025-10-31 09:34:50
NA-0001,200-Gampaha-Colombo,80.440937,6.8619,2025-10-31 09:35:00
NA-0001,200-Gampaha-Colombo,80.440849,6.861702,2025-10-31 09:35:10
NA-0001,200-Gampaha-Colombo,80.440949,6.862089,2025-10-31 09:35:20
NA-0001,200-Gampaha-Colombo,80.440515,6.862792,2025-10-31 09:35:30
NA-0001,200-Gampaha-Colombo,80.439836,6.862186,2025-10-31 09:35:40
NA-0001,200-Gampaha-Colombo,80.440808,6.862905,2025-10-31 09:35:50
NA-0001,200-Gampaha-Colombo,80.440334,6.863748,2025-10-31 09:36:00
NA-0001,200-Gampaha-Colombo,80.439871,6.863526,2025-10-31 09:36:10
NA-0001,200-Gampaha-Colombo,80.438957,6.864057,2025-10-31 09:36:20
NA-0001,200-Gampaha-Colombo,80.438886,6.864357,2025-10-31 09:36:30
NA-0001,200-Gampaha-Colombo,80.438707,6.863695,2025-10-31 09:36:40
NA-0001,200-Gampaha-Colombo,80.438765,6.864425,2025-10-31 09:36:50
NA-0001,200-Gampaha-Colombo,80.437916,6.863945,2025-10-31 09:37:00
NA-0001,200-Gampaha-Colombo,80.43874,6.863782,2025-10-31 09:37:10
NA-0001,200-Gampaha-Colombo,80.438883,6.863232,2025-10-31 09:37:20
NA-0001,200-Gampaha-Colombo,80.439821,6.862437,2025-10-31 09:37:30
NA-0001,200-Gampaha-Colombo,80.440541,6.862022,2025-10-31 09:37:40
NA-0001,200-Gampaha-Colombo,80.440435,6.862214,2025-10-31 09:37:50
NA-0001,200-Gampaha-Colombo,80.44101,6.862106,2025-10-31 09:38:00
NA-0001,200-Gampaha-Colombo,80.44003,6.862348,2025-10-31 09:38:10
NA-0001,200-Gampaha-Colombo,80.440106,6.861675,2025-10-31 09:38:20
NA-0001,200-Gampaha-Colombo,80.439335,6.8612,2025-10-31 09:38:30
NA-0001,200-Gampaha-Colombo,80.440301,6.862081,2025-10-31 09:38:40
NA-0001,200-Gampaha-Colombo,80.44025,6.861568,2025-10-31 09:38:50
NA-0001,200-Gampaha-Colombo,80.44001,6.862402,2025-10-31 09:39:00
NA-0001,200-Gampaha-Colombo,80.440723,6.861964,2025-10-31 09:39:10
NA-0001,200-Gampaha-Colombo,80.440639,6.860995,2025-10-31 09:39:20
NA-0001,200-Gampaha-Colombo,80.439876,6.861855,2025-10-31 09:39:30
NA-0001,200-Gampaha-Colombo,80.439303,6.862621,2025-10-31 09:39:40
NA-0001,200-Gampaha-Colombo,80.440199,6.86186,2025-10-31 09:39:50
NA-0001,200-Gampaha-Colombo,80.440451,6.861725,2025-10-31 09:40:00
NA-0001,200-Gampaha-Colombo,80.441371,6.860995,2025-10-31 09:40:10
NA-0001,200-Gampaha-Colombo,80.441149,6.860203,2025-10-31 09:40:20
NA-0001,200-Gampaha-Colombo,80.440753,6.86061,2025-10-31 09:40:30
NA-0001,200-Gampaha-Colombo,80.441668,6.860708,2025-10-31 09:40:40
NA-0001,200-Gampaha-Colombo,80.441425,6.861065,2025-10-31 09:40:50
NA-0001,200-Gampaha-Colombo,80.441253,6.861607,2025-10-31 09:41:00
NA-0001,200-Gampaha-Colombo,80.442238,6.862239,2025-10-31 09:41:10
NA-0001,200-Gampaha-Colombo,80.44173,6.862098,2025-10-31 09:41:20
NA-0001,200-Gampaha-Colombo,80.44223,6.861746,2025-10-31 09:41:30
NA-0001,200-Gampaha-Colombo,80.442442,6.862735,2025-10-31 09:41:40
NA-0001,200-Gampaha-Colombo,80.443136,6.863294,2025-10-31 09:41:50
NA-0001,200-Gampaha-Colombo,80.444128,6.864138,2025-10-31 09:42:00
NA-0001,200-Gampaha-Colombo,80.443544,6.865091,2025-10-31 09:42:10
NA-0001,200-Gampaha-Colombo,80.442751,6.865822,2025-10-31 09:42:20
NA-0001,200-Gampaha-Colombo,80.441889,6.866002,2025-10-31 09:42:30
NA-0001,200-Gampaha-Colombo,80.442499,6.866004,2025-10-31 09:42:40
NA-0001,200-Gampaha-Colombo,80.442421,6.865059,2025-10-31 09:42:50
NA-0001,200-Gampaha-Colombo,80.442558,6.864818,2025-10-31 09:43:00
NA-0001,200-Gampaha-Colombo,80.443034,6.864192,2025-10-31 09:43:10
NA-0001,200-Gampaha-Colombo,80.44329,6.864901,2025-10-31 09:43:20
NA-0001,200-Gampaha-Colombo,80.444142,6.86477,2025-10-31 09:43:30
NA-0001,200-Gampaha-Colombo,80.443598,6.864507,2025-10-31 09:43:40
NA-0001,200-Gampaha-Colombo,80.443084,6.865433,2025-10-31 09:43:50
NA-0001,200-Gampaha-Colombo,80.442611,6.864759,2025-10-31 09:44:00
NA-0001,200-Gampaha-Colombo,80.443562,6.863774,2025-10-31 09:44:10
NA-0001,200-Gampaha-Colombo,80.443392,6.864422,2025-10-31 09:44:20
NA-0001,200-Gampaha-Colombo,80.443166,6.864922,2025-10-31 09:44:30
NA-0001,200-Gampaha-Colombo,80.443382,6.865882,2025-10-31 09:44:40
NA-0001,200-Gampaha-Colombo,80.443582,6.866297,2025-10-31 09:44:50
NA-0001,200-Gampaha-Colombo,80.443425,6.86619,2025-10-31 09:45:00
NA-0001,200-Gampaha-Colombo,80.443847,6.866242,2025-10-31 09:45:10
NA-0001,200-Gampaha-Colombo,80.444391,6.86629,2025-10-31 09:45:20
NA-0001,200-Gampaha-Colombo,80.444594,6.865959,2025-10-31 09:45:30
NA-0001,200-Gampaha-Colombo,80.445488,6.865836,2025-10-31 09:45:40
NA-0001,200-Gampaha-Colombo,80.446469,6.865418,2025-10-31 09:45:50
NA-0001,200-Gampaha-Colombo,80.446624,6.864492,2025-10-31 09:46:00
NA-0001,200-Gampaha-Colombo,80.446934,6.865309,2025-10-31 09:46:10
NA-0001,200-Gampaha-Colombo,80.44658,6.866154,2025-10-31 09:46:20
NA-0001,200-Gampaha-Colombo,80.446147,6.866686,2025-10-31 09:46:30
NA-0001,200-Gampaha-Colombo,80.446804,6.866238,2025-10-31 09:46:40
NA-0001,200-Gampaha-Colombo,80.447722,6.866326,2025-10-31 09:46:50
NA-0001,200-Gampaha-Colombo,80.448674,6.867311,2025-10-31 09:47:00
NA-0001,200-Gampaha-Colombo,80.449012,6.86783,2025-10-31 09:47:10
NA-0001,200-Gampaha-Colombo,80.449737,6.867645,2025-10-31 09:47:20
NA-0001,200-Gampaha-Colombo,80.449405,6.867549,2025-10-31 09:47:30
NA-0001,200-Gampaha-Colombo,80.449748,6.867575,2025-10-31 09:47:40
NA-0001,200-Gampaha-Colombo,80.450456,6.866793,2025-10-31 09:47:50
NA-0001,200-Gampaha-Colombo,80.450765,6.867706,2025-10-31 09:48:00
NA-0001,200-Gampaha-Colombo,80.450721,6.868164,2025-10-31 09:48:10
NA-0001,200-Gampaha-Colombo,80.451234,6.868918,2025-10-31 09:48:20
NA-0001,200-Gampaha-Colombo,80.450731,6.869912,2025-10-31 09:48:30
NA-0001,200-Gampaha-Colombo,80.450406,6.870316,2025-10-31 09:48:40
NA-0001,200-Gampaha-Colombo,80.450218,6.869998,2025-10-31 09:48:50
NA-0001,200-Gampaha-Colombo,80.450997,6.870166,2025-10-31 09:49:00
NA-0001,200-Gampaha-Colombo,80.450721,6.870706,2025-10-31 09:49:10
NA-0001,200-Gampaha-Colombo,80.450822,6.870592,2025-10-31 09:49:20
NA-0001,200-Gampaha-Colombo,80.450405,6.870112,2025-10-31 09:49:30
NA-0001,200-Gampaha-Colombo,80.450202,6.870111,2025-10-31 09:49:40
NA-0001,200-Gampaha-Colombo,80.451132,6.870702,2025-10-31 09:49:50
NA-0001,200-Gampaha-Colombo,80.451939,6.869976,2025-10-31 09:50:00
NA-0001,200-Gampaha-Colombo,80.451915,6.869584,2025-10-31 09:50:10
NA-0001,200-Gampaha-Colombo,80.451731,6.868854,2025-10-31 09:50:20
NA-0001,200-Gampaha-Colombo,80.451132,6.868018,2025-10-31 09:50:30
NA-0001,200-Gampaha-Colombo,80.452049,6.868798,2025-10-31 09:50:40
NA-0001,200-Gampaha-Colombo,80.452779,6.868106,2025-10-31 09:50:50
NA-0001,200-Gampaha-Colombo,80.452636,6.869013,2025-10-31 09:51:00
NA-0001,200-Gampaha-Colombo,80.452304,6.868162,2025-10-31 09:51:10
NA-0001,200-Gampaha-Colombo,80.453109,6.868487,2025-10-31 09:51:20
NA-0001,200-Gampaha-Colombo,80.452343,6.869473,2025-10-31 09:51:30
NA-0001,200-Gampaha-Colombo,80.452065,6.86999,2025-10-31 09:51:40
NA-0001,200-Gampaha-Colombo,80.452653,6.870889,2025-10-31 09:51:50
NA-0001,200-Gampaha-Colombo,80.453479,6.87052,2025-10-31 09:52:00
NA-0001,200-Gampaha-Colombo,80.452611,6.870284,2025-10-31 09:52:10
NA-0001,200-Gampaha-Colombo,80.453454,6.869557,2025-10-31 09:52:20
NA-0001,200-Gampaha-Colombo,80.453177,6.869122,2025-10-31 09:52:30
NA-0001,200-Gampaha-Colombo,80.454063,6.869683,2025-10-31 09:52:40
NA-0001,200-Gampaha-Colombo,80.454429,6.869051,2025-10-31 09:52:50
NA-0001,200-Gampaha-Colombo,80.454541,6.868959,2025-10-31 09:53:00
NA-0001,200-Gampaha-Colombo,80.45476,6.86855,2025-10-31 09:53:10
NA-0001,200-Gampaha-Colombo,80.45428,6.869446,2025-10-31 09:53:20
NA-0001,200-Gampaha-Colombo,80.454428,6.869896,2025-10-31 09:53:30
NA-0001,200-Gampaha-Colombo,80.45443,6.868912,2025-10-31 09:53:40
NA-0001,200-Gampaha-Colombo,80.454168,6.868991,2025-10-31 09:53:50
NA-0001,200-Gampaha-Colombo,80.45414,6.869818,2025-10-31 09:54:00
NA-0001,200-Gampaha-Colombo,80.454109,6.869944,2025-10-31 09:54:10
NA-0001,200-Gampaha-Colombo,80.454611,6.870144,2025-10-31 09:54:20
NA-0001,200-Gampaha-Colombo,80.455077,6.87023,2025-10-31 09:54:30
NA-0001,200-Gampaha-Colombo,80.455394,6.870371,2025-10-31 09:54:40
NA-0001,200-Gampaha-Colombo,80.454591,6.870509,2025-10-31 09:54:50
NA-0001,200-Gampaha-Colombo,80.454151,6.870587,2025-10-31 09:55:00
NA-0001,200-Gampaha-Colombo,80.454684,6.870031,2025-10-31 09:55:10
